"areaCode","age","population"
"E06000015","10_14",17216
"E06000015","15_19",15961
"E06000015","20_24",18322
"E06000015","25_29",18072
"E06000015","30_34",18168
"E06000015","35_39",16702
"E06000015","40_44",15098
"E06000015","45_49",15784
"E06000015","50_54",16949
"E06000015","55_59",15944
"E06000015","60+",55335
"E06000015","60_64",12974
"E06000015","65_69",10825
"E06000015","70_74",10909
"E06000015","75_79",8046
"E06000015","80_84",6208
"E06000015","85_89",4001
"E06000015","90+",2372
"E06000016","00_04",23697
"E06000016","00_59",294191
"E06000016","05_09",24955
"E06000016","10_14",23012
"E06000016","15_19",23875
"E06000016","20_24",39691
"E06000016","25_29",31848
"E06000016","30_34",26023
"E06000016","35_39",23849
"E06000016","40_44",20801
"E06000016","45_49",19325
"E06000016","50_54",18687
"E06000016","55_59",18428
"E06000016","60+",59845
"E06000016","60_64",16243
"E06000016","65_69",13624
"E06000016","70_74",11047
"E06000016","75_79",7274
"E06000016","80_84",5727
"E06000016","85_89",3657
"E06000016","90+",2273
"E06000017","00_04",1776
"E06000017","00_59",27451
"E06000017","05_09",1985
"E06000017","10_14",2291
"E06000017","15_19",2489
"E06000017","20_24",1527
"E06000017","25_29",2183
"E06000017","30_34",2076
"E06000017","35_39",2190
"E06000017","40_44",2338
"E06000017","45_49",2608
"E06000017","50_54",3004
"E06000017","55_59",2984
"E06000017","60+",13025
"E06000017","60_64",2680
"E06000017","65_69",2535
"E06000017","70_74",2846
"E06000017","75_79",2096
"E06000017","80_84",1418
"E06000017","85_89",881
"E06000017","90+",569
"E06000018","00_04",19700
"E06000018","00_59",284220
"E06000018","05_09",20583
"E06000018","10_14",18812
"E06000018","15_19",28761
"E06000018","20_24",49831
"E06000018","25_29",32935
"E06000018","30_34",23986
"E06000018","35_39",20153
"E06000018","40_44",17669
"E06000018","45_49",17262
"E06000018","50_54",17849
"E06000018","55_59",16679
"E06000018","60+",52878
"E06000018","60_64",13753
"E06000018","65_69",11550
"E06000018","70_74",10124
"E06000018","75_79",6755
"E06000018","80_84",5238
"E06000018","85_89",3378
"E06000018","90+",2080
"E06000019","00_04",8929
"E06000019","00_59",131680
"E06000019","05_09",10626
