"areaCode","population"
"E02000722",8470
"E02000723",11288
"E02000724",9984
"E02000725",10153
"E02000726",26513
"E02000727",8662
"E02000728",8196
"E02000729",7318
"E02000730",9082
"E02000731",10982
"E02000732",7955
"E02000733",10137
"E02000734",7655
"E02000735",8677
"E02000736",9056
"E02000737",10139
"E02000738",9218
"E02000739",7593
"E02000740",7135
"E02000741",8783
"E02000742",8785
"E02000743",10180
"E02000744",9507
"E02000745",8231
"E02000746",8449
"E02000747",14092
"E02000748",6475
"E02000749",8570
"E02000750",16414
"E02000751",10616
"E02000752",7832
"E02000753",6589
"E02000754",6645
"E02000755",5593
"E02000756",13860
"E02000757",12738
"E02000758",6325
"E02000759",13317
"E02000760",7223
"E02000762",6656
"E02000763",7629
"E02000764",12421
"E02000765",7024
"E02000767",8425
"E02000768",5823
"E02000769",15815
"E02000770",8119
"E02000772",9054
"E02000773",10100
"E02000774",7559
"E02000776",6989
"E02000777",6024
"E02000779",9053
"E02000780",17806
"E02000781",15140
"E02000782",10744
"E02000783",7813
"E02000784",10121
"E02000785",10070
"E02000786",11605
"E02000787",12251
"E02000788",9104
"E02000789",6624
"E02000790",6673
"E02000791",7333
"E02000792",7350
"E02000793",8339
"E02000794",7056
"E02000795",7185
"E02000796",10791
"E02000797",7997
"E02000798",11088
"E02000799",6229
"E02000800",5489
"E02000801",7229
"E02000802",6933
"E02000803",9470
"E02000804",7335
"E02000805",11431
"E02000806",10316
"E02000807",9509
"E02000808",11454
"E02000809",14314
"E02000810",13511
"E02000812",10816
"E02000813",10865
"E02000814",10356
"E02000815",7249
"E02000816",10593
"E02000817",7287
"E02000818",8510
"E02000819",8828
"E02000820",10515
"E02000821",7938
"E02000822",7219
"E02000823",8947
"E02000824",9797
"E02000825",9519
"E02000826",9296
"E02000827",11125
"E02000828",8608
"E02000829",11581
"E02000830",9271
"E02000831",9963
"E02000832",10755
"E02000833",8698
"E02000834",9868
"E02000835",7803
"E02000836",8559
"E02000837",9418
"E02000838",9816
"E02000839",8501
"E02000840",8692
"E02000841",9250
"E02000842",7962
"E02000843",8648
"E02000844",8470
"E02000845",9994
"E02000846",7614
"E02000847",9524
"E02000848",8068
"E02000849",8056
"E02000850",10870
"E02000851",10345
"E02000852",8046
"E02000853",8102
"E02000854",7638
"E02000855",8088
"E02000856",9293
"E02000857",8781
"E02000858",8391
"E02000859",8699
"E02000860",8578
"E02000861",7848
"E02000863",6852
"E02000864",10794
"E02000865",8384
"E02000866",10928
"E02000867",12800
"E02000868",7468
"E02000869",6666
"E02000870",6940
"E02000871",11625
"E02000872",9097
"E02000873",11103
"E02000874",8136
"E02000875",13843
"E02000876",8093
"E02000877",13324
"E02000878",11994
"E02000879",9342
"E02000880",6723
"E02000881",9515
"E02000882",10702
"E02000883",8971
"E02000884",13833
"E02000885",7711
"E02000886",9475
"E02000887",11421
"E02000888",10347
"E02000889",8680
"E02000890",6829
"E02000891",20373
"E02000893",8132
"E02000894",12011
"E02000895",8180
"E02000896",9044
"E02000897",8558
"E02000898",7899
"E02000899",8656
"E02000900",8771
"E02000901",10204
"E02000902",9801
"E02000903",9910
"E02000904",8859
"E02000905",10369
"E02000906",9540
"E02000907",10945
"E02000908",12797
"E02000909",9027
"E02000910",10785
"E02000911",11883
"E02000912",9389
"E02000913",9170
"E02000914",11239
"E02000915",9282
"E02000916",9912
"E02000917",10348
"E02000918",9809
"E02000919",10007
"E02000920",10329
"E02000921",11282
"E02000922",10988
"E02000923",8197
"E02000924",14770
"E02000925",8068
"E02000926",11349
"E02000927",7319
"E02000928",8588
"E02000929",7508
"E02000930",10975
"E02000931",9693
"E02000932",11827
"E02000933",9006
"E02000934",10019
"E02000935",7122
"E02000936",9268
"E02000937",8548
"E02000938",11292
"E02000939",8374
"E02000940",8583
"E02000941",10445
"E02000942",9619
"E02000943",8901
"E02000944",7317
"E02000945",8335
"E02000946",8574
"E02000947",9087
"E02000948",9891
"E02000949",9902
"E02000950",7572
"E02000951",6396
"E02000952",6090
"E02000953",7840
"E02000954",6200
"E02000955",6505
"E02000956",8293
"E02000957",11165
"E02000958",8665
"E02000959",8374
"E02000960",8716
"E02000961",11474
"E02000962",10713
"E02000963",11110
"E02000964",13660
"E02000965",9423
"E02000966",11363
"E02000967",10506
"E02000968",16000
"E02000969",10934
"E02000970",11341
"E02000971",9992
"E02000972",11307
"E02000973",11622
"E02000974",10539
"E02000975",10679
"E02000976",11529
"E02000977",7528
"E02000978",11746
"E02000979",10627
"E02000980",10898
"E02000981",10426
"E02000982",9246
"E02000983",9938
"E02000984",7510
"E02000985",7255
"E02000986",8506
"E02000987",7205
"E02000988",8898
"E02000989",8127
"E02000990",7897
"E02000991",7650
"E02000992",6046
"E02000993",8251
"E02000994",8467
"E02000995",8199
"E02000996",8503
"E02000997",6115
"E02000998",9566
"E02000999",8158
"E02001000",9306
"E02001001",8900
"E02001002",9703
"E02001003",7355
"E02001004",8688
"E02001005",9014
"E02001006",8349
"E02001007",9933
"E02001008",8813
"E02001009",7391
"E02001010",6199
"E02001011",9695
"E02001012",8436
"E02001013",6147
"E02001014",8029
"E02001015",8323
"E02001016",8543
"E02001017",10855
"E02001018",7518
"E02001019",8969
"E02001020",5810
"E02001021",7484
"E02001022",7893
"E02001023",5711
"E02001024",8185
"E02001025",8034
"E02001026",10725
"E02001027",7412
"E02001028",7232
"E02001029",7600
"E02001030",5854
"E02001031",6627
"E02001032",7703
"E02001033",6032
"E02001034",8471
"E02001035",6921
"E02001036",7727
"E02001037",6993
"E02001038",5809
"E02001039",8484
"E02001040",6159
"E02001041",7702
"E02001042",6412
"E02001043",5473
"E02001044",9568
"E02001045",8199
"E02001046",10414
"E02001047",9954
"E02001048",9028
"E02001049",9687
"E02001050",8563
"E02001051",8997
"E02001052",14201
"E02001053",11134
"E02001055",9191
"E02001056",8317
"E02001057",11419
"E02001059",11967
"E02001061",9966
"E02001062",11031
"E02001063",14646
"E02001064",10326
"E02001065",9671
"E02001066",13097
"E02001067",11124
"E02001068",10629
"E02001069",12706
"E02001070",12950
"E02001071",14444
"E02001072",9038
"E02001073",9546
"E02001074",11831
"E02001075",8771
"E02001076",11948
"E02001077",7201
"E02001078",10400
"E02001079",8880
"E02001080",9664
"E02001081",6332
"E02001082",6734
"E02001083",8204
"E02001084",8379
"E02001085",8372
"E02001086",6595
"E02001087",9457
"E02001088",9059
"E02001089",7885
"E02001090",6496
"E02001091",7965
"E02001092",8498
"E02001093",9379
"E02001094",9615
"E02001095",8272
"E02001096",7537
"E02001097",8082
"E02001098",5851
"E02001099",5916
"E02001100",5956
"E02001101",5530
"E02001102",6012
"E02001103",5443
"E02001104",7169
"E02001105",6019
"E02001106",5768
"E02001107",6489
"E02001108",5873
"E02001109",7665
"E02001110",6463
"E02001111",7635
"E02001112",5716
"E02001113",9493
"E02001114",8796
"E02001115",5848
"E02001116",7754
"E02001117",6131
"E02001118",6030
"E02001119",12073
"E02001121",8919
"E02001123",6941
"E02001124",6557
"E02001125",8139
"E02001126",9110
"E02001127",7715
"E02001128",7699
"E02001129",6231
"E02001130",5401
"E02001131",5252
"E02001132",6488
"E02001133",6503
"E02001134",6340
"E02001135",8203
"E02001136",9277
"E02001137",6125
"E02001138",8557
"E02001139",9959
"E02001140",8310
