"areaCode","age","population"
"E06000021","65_69",12424
"E06000021","70_74",12158
"E06000021","75_79",8519
"E06000021","80_84",5924
"E06000021","85_89",3440
"E06000021","90+",1591
"E06000022","0_4",9314
"E06000022","5_9",10562
"E06000022","10_14",10544
"E06000022","15_19",13122
"E06000022","20_24",20821
"E06000022","25_29",15034
"E06000022","30_34",10879
"E06000022","35_39",10100
"E06000022","40_44",9939
"E06000022","45_49",11753
"E06000022","50_54",12483
"E06000022","55_59",11977
"E06000022","60_64",10072
"E06000022","65_69",9385
"E06000022","70_74",9697
"E06000022","75_79",6823
"E06000022","80_84",5360
"E06000022","85_89",3374
"E06000022","90+",2043
"E06000023","0_4",28366
"E06000023","5_9",28160
"E06000023","10_14",24825
"E06000023","15_19",26028
"E06000023","20_24",51271
"E06000023","25_29",51079
"E06000023","30_34",41665
"E06000023","35_39",33634
"E06000023","40_44",26847
"E06000023","45_49",24979
"E06000023","50_54",24804
"E06000023","55_59",22411
"E06000023","60_64",18963
"E06000023","65_69",16547
"E06000023","70_74",15372
"E06000023","75_79",10914
"E06000023","80_84",8376
"E06000023","85_89",5499
"E06000023","90+",3637
"E06000024","0_4",11317
"E06000024","5_9",13030
"E06000024","10_14",12373
"E06000024","15_19",11013
"E06000024","20_24",9496
"E06000024","25_29",10185
"E06000024","30_34",11519
"E06000024","35_39",12892
"E06000024","40_44",12890
"E06000024","45_49",14852
"E06000024","50_54",15829
"E06000024","55_59",14982
"E06000024","60_64",13033
"E06000024","65_69",12818
"E06000024","70_74",14279
"E06000024","75_79",9931
"E06000024","80_84",7247
"E06000024","85_89",4589
"E06000024","90+",2777
"E06000025","0_4",16303
"E06000025","5_9",17440
"E06000025","10_14",16696
"E06000025","15_19",15367
"E06000025","20_24",17660
"E06000025","25_29",18278
"E06000025","30_34",19440
"E06000025","35_39",19016
"E06000025","40_44",17174
"E06000025","45_49",19152
"E06000025","50_54",20857
"E06000025","55_59",18947
"E06000025","60_64",15066
"E06000025","65_69",13691
"E06000025","70_74",14037
"E06000025","75_79",10739
"E06000025","80_84",7807
"E06000025","85_89",4754
"E06000025","90+",2669
"E06000026","0_4",14630
"E06000026","5_9",15996
